position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards
DEF,Spurs,1.0,0,0,17,0,0.3,361,223,2,0,1.3,12.8,90,6,0,0,0,0,0,476565,0.0,2,1118,108254,46,False,0
DEF,Leeds,1.0,0,0,6,0,0.0,563,226,0,0,0.0,0.0,0,14,0,0,0,0,0,29466,0.0,1,82,1054,40,True,0
DEF,Southampton,3.3,0,0,12,0,0.1,343,229,1,0,6.5,24.6,70,12,0,0,0,0,0,94132,40.0,2,12353,6497,44,True,1
MID,Brighton,2.3,0,0,24,0,1.0,73,227,1,0,1.3,12.0,61,9,0,0,0,0,0,2591,0.0,3,66,56,48,False,0
GK,Leicester,1.0,0,0,6,0,0.0,573,227,0,0,0.0,0.0,0,4,0,0,0,0,0,5967,0.0,1,48,187,40,True,0
MID,Watford,1.0,0,0,6,0,0.0,385,230,0,0,0.0,0.0,0,15,0,0,0,0,0,552,0.0,1,0,3,50,True,0
MID,Watford,1.0,0,0,6,0,0.0,385,164,0,0,0.0,0.0,0,5,0,0,0,0,0,552,0.0,1,0,3,50,False,0
DEF,Arsenal,3.4,0,0,6,0,0.0,695,221,0,0,0.0,0.0,0,5,0,0,0,0,0,0,0.0,1,0,0,40,True,0
MID,Liverpool,11.5,0,2,36,0,3.6,232,224,1,1,7.2,40.6,90,7,0,0,0,0,0,62432,28.0,10,4837,1074,54,False,0
DEF,Everton,1.0,0,0,6,0,0.0,570,225,0,0,0.0,0.0,0,2,0,0,0,0,0,873,0.0,1,0,4,40,True,0
MID,Brentford,1.0,0,0,6,0,0.0,628,222,0,0,0.0,0.0,0,20,0,0,0,0,0,235,0.0,1,16,16,45,True,0
DEF,Brentford,1.5,0,0,10,0,0.4,76,222,2,0,1.4,7.2,90,20,0,0,0,0,0,625289,6.0,1,5571,30841,46,True,1
MID,Wolves,8.5,1,3,51,0,31.7,426,222,1,1,12.2,72.8,90,3,0,0,0,0,0,62466,17.0,14,7529,4570,49,False,0
GK,Wolves,1.0,0,0,6,0,0.0,621,222,0,0,0.0,0.0,0,3,0,0,0,0,0,12202,0.0,1,156,485,40,False,0
GK,Everton,1.0,0,0,6,0,0.0,481,225,0,0,0.0,0.0,0,2,0,0,0,0,0,246111,0.0,1,631,5984,40,True,0
DEF,Man City,10.5,0,2,33,0,2.8,259,229,1,1,8.5,56.2,90,16,0,0,0,0,0,650166,26.0,11,146217,18314,57,False,0
DEF,Arsenal,2.0,0,0,6,0,0.0,466,221,0,0,0.0,0.0,0,5,0,0,0,0,0,38934,0.0,1,614,2847,43,True,0
DEF,Liverpool,2.0,0,0,6,0,0.0,245,224,0,0,0.0,0.0,0,7,0,0,0,0,0,1089519,0.0,1,38168,55456,37,False,0
MID,Newcastle,1.0,0,0,6,0,0.0,304,226,0,0,0.0,0.0,0,10,0,0,0,0,0,34326,0.0,1,533,1524,47,False,0
